,name,fullname,shift,div,siz,dnaApos,taxonid,realm1,realm2,realm3,realm4,realm5,Ori,Ter,leading1,lagging1,lagging2,leading2,dist_dnaA_ori,frac_co_orient,median_dist_ori_rrna
<<<<<<< Updated upstream
0,NZ_CP083032.1,"NZ_CP083032.1 Klebsiella pneumoniae strain 5208.51 chromosome, complete genome",16204,0.475756,5217869,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,16205,2498637,"[16205, 2498637)","[1, 16205)","[2498637, 5217869]",,16204.0,1.0,374104.5
1,NZ_CP083066.1,"NZ_CP083066.1 Klebsiella pneumoniae strain 1613015451 chromosome, complete genome",38838,0.482734,5340601,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,38839,2616929,"[38839, 2616929)","[1, 38839)","[2616929, 5340601]",,38838.0,1.0,369452.5
2,NZ_CP083026.1,"NZ_CP083026.1 Klebsiella pneumoniae strain 6604.68 chromosome, complete genome",47408,0.49486,5428358,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,47409,2733686,"[47409, 2733686)","[1, 47409)","[2733686, 5428358]",,47408.0,1.0,380681.0
3,NZ_CP083051.1,"NZ_CP083051.1 Klebsiella pneumoniae strain 0213293972 chromosome, complete genome",32910,0.47822,5301390,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,32911,2568142,"[32911, 2568142)","[1, 32911)","[2568142, 5301390]",,32910.0,1.0,374614.0
4,NZ_CP083055.1,"NZ_CP083055.1 Klebsiella pneumoniae strain 1613258639 chromosome, complete genome",24289,0.483637,5372919,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,24290,2622832,"[24290, 2622832)","[1, 24290)","[2622832, 5372919]",,24289.0,1.0,374415.5
5,NZ_CP083036.1,"NZ_CP083036.1 Klebsiella pneumoniae strain 4906.28 chromosome, complete genome",30254,0.484811,5481131,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,30255,2687568,"[30255, 2687568)","[1, 30255)","[2687568, 5481131]",,30254.0,1.0,370448.0
6,NZ_CP083047.1,"NZ_CP083047.1 Klebsiella pneumoniae strain 400195-1-18 chromosome, complete genome",24636,0.50194,5442818,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,24637,2756605,"[24637, 2756605)","[1, 24637)","[2756605, 5442818]",,24636.0,1.0,387644.5
7,NZ_CP083063.1,"NZ_CP083063.1 Klebsiella pneumoniae strain 1613163991 chromosome, complete genome",31062,0.475843,5342715,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,31063,2573357,"[31063, 2573357)","[1, 31063)","[2573357, 5342715]",,31062.0,1.0,371291.0
8,NZ_CP083070.1,"NZ_CP083070.1 Klebsiella pneumoniae strain 1230_0791_KP chromosome, complete genome",22335,0.482747,5325494,1,573,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,22336,2593202,"[22336, 2593202)","[1, 22336)","[2593202, 5325494]",,22335.0,1.0,380918.0
